Time Step,Satellite Index,Satellite Visible,Satellite Available,Active Satellite,Weighted Values,Unweighted Values,Availability,BER,Cost,Latency,Data Transfer Latency,Throughput,Weighted Availability,Weighted BER,Weighted Cost,Weighted Latency,Weighted Data Transfer Latency,Weighted Throughput,Values Used
55,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
56,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
56,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
56,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
56,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
57,1,Yes,No,Yes,0.11480258294865989,2.131629161934689,0.0,0.0,0.9836033324480903,0.3292220253052832,,0.0,0.0,0.0,0.0,0.03292220253052832,0.08188038041813157,0.0,Normal
57,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
57,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
57,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
58,1,Yes,No,Yes,0.11949798560578127,2.178583188505903,0.0,0.0,0.9836033324480903,0.3551503851865778,,0.0,0.0,0.0,0.0,0.03551503851865778,0.08398294708712349,0.0,Normal
58,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
58,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
58,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
59,1,Yes,No,Yes,0.15320676453755458,2.3240429753177496,0.0,0.0,0.9836033324480903,0.38528967013777166,,0.09581400125294319,0.0,0.0,0.0,0.03852896701377717,0.08593359714789445,0.028744200375882954,Normal
59,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
59,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
59,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
60,1,Yes,Yes,Yes,0.1597073949954696,3.0608650395731876,0.68,0.0,0.9836033324480903,0.4206606206704728,,0.09990612141479936,0.0,0.0,0.0,0.04206606206704728,0.0876694965039825,0.029971836424439808,Normal
60,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
60,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
60,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
61,1,Yes,Yes,Yes,0.16536810711701594,3.9596476793782167,0.64,0.8823529411764706,0.9836033324480903,0.46251092419988954,,0.09999483270825178,0.0,0.0,0.0,0.046251092419988954,0.08911856488455144,0.029998449812475535,Normal
61,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
61,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
61,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
62,1,Yes,Yes,Yes,0.17142476455194636,3.921397429407368,0.6,0.8235294117647058,0.9836033324480903,0.51225227888802,,0.09999148016244576,0.0,0.0,0.0,0.05122522788880201,0.09020209261441063,0.029997444048733727,Normal
